"scenario","method","lambda","mse_mean","true_fdr_mean","est_fdr_mean","fdp_mean"
"independent","cv",0.00498797646109815,1.51416425484029,0.887908460727856,0.877851111067639,0.887908460727856
"independent","cv",0.00457035265104768,1.52714246818194,0.888931703919781,0.879956598773676,0.888931703919781
"independent","cv",0.00418769485338345,1.5395211738498,0.890003301312591,0.882194122219829,0.890003301312591
"independent","cv",0.00383707550029739,1.55120556881877,0.890871288763378,0.883986217623434,0.890871288763378
"independent","cv",0.00351581213781297,1.56250217531604,0.891704169629919,0.885684898389107,0.891704169629919
"independent","cv",0.00322144690336038,1.57319814364549,0.89245216210366,0.887235889866643,0.89245216210366
"independent","cv",0.00295172772161419,1.5834410707223,0.893076599596814,0.888557544169812,0.893076599596814
"independent","cv",0.00270459107473018,1.59316011259773,0.893674869119408,0.889799163218989,0.893674869119408
"independent","cv",0.00247814621516309,1.60234205884562,0.894205949127844,0.8909141802935,0.894205949127844
"independent","cv",0.00227066070028343,1.61100571497657,0.894713781969315,0.891971136123808,0.894713781969315
"independent","cv",0.00208054713812451,1.61914750002557,0.895178849515072,0.892938883818267,0.895178849515072
"independent","cv",0.00190635104285627,1.62677346165827,0.895621430867732,0.893856734897765,0.895621430867732
"independent","cv",0.00174673970707301,1.63390262138212,0.896010912866908,0.894649393936103,0.896010912866908
"independent","cv",0.00160049200576095,1.64055452695861,0.896365133170187,0.895379632241288,0.896365133170187
"independent","cvc",1.60049200576095,21.1149430495936,0,0,0
"independent","cvc",1.46648905393987,21.0872072519887,0,0,0
"independent","cvc",1.34370564650397,20.9704780826862,0,0,0
"independent","cvc",1.23120241477144,20.6463347312258,0,0,0
"independent","cvc",1.12811863973555,20.0245876838931,0,0,0
"independent","cvc",1.03366566703415,19.0874609699942,0,0,0
"independent","cvc",0.947120873258172,17.8356998643068,0,0,0
"independent","cvc",0.867822137437488,16.3338333569617,0,0,0
"independent","cvc",0.795162775407741,14.6541702880462,0,0,0
"independent","cvc",0.728586898302864,12.892664794131,0,0,0
"independent","cvc",0.66758515966292,11.1810261340565,0,0,0
"independent","cvc",0.611690858620008,9.61439210500916,0,0,0
"independent","cvc",0.560476369349204,8.25231420052197,0,0,0
"independent","cvc",0.513549869467659,7.09739126060451,0,0,0
"independent","cvc",0.470552342352066,6.1259064060612,0,0,0
"independent","cvc",0.431154830440396,5.31014331524257,0,0,0
"independent","cvc",0.395055918503962,4.62525671725526,0,0,0
"independent","cvc",0.3619794276353,4.05025343718565,0,0,0
"independent","cvc",0.33167230230944,3.56750775263825,0,0,0
"independent","cvc",0.303902674353299,3.16223064082138,0,0,0
"independent","cvc",0.278458089011369,2.82199741982279,0,0,0
"independent","cvc",0.25514387953599,2.53638159571495,0,0,0
"independent","cvc",0.233781677866854,2.29665595560564,0.000476190476190476,0.000529100529100529,0.000476190476190476
"independent","cvc",0.214208050005496,2.09547391670257,0.00116883116883117,0.000781625781625782,0.00116883116883117
"independent","cvc",0.196273245644555,1.9267183429485,0.00329004329004329,0.00103415103415103,0.00329004329004329
"independent","cvc",0.179840052485699,1.7851724846427,0.00614718614718615,0.0012987012987013,0.00614718614718615
"independent","cvc",0.164782746481047,1.66660004841643,0.0103679653679654,0.00234487734487734,0.0103679653679654
"independent","cvc",0.150986129966773,1.56740505408427,0.0172214379823075,0.00515977581194972,0.0172214379823075
"independent","cvc",0.138344650330035,1.48457704525166,0.0300978731413514,0.00759196520066085,0.0300978731413514
"independent","cvc",0.126761592466485,1.41557537361005,0.050659022137283,0.0123665585622107,0.050659022137283
"independent","cvc",0.116148338850154,1.35827723860628,0.0800132693393563,0.0216804117782379,0.0800132693393563
"independent","cvc",0.106423691554815,1.31094525251309,0.124423173944163,0.0366727556304851,0.124423173944163
"independent","cvc",0.0975132510398305,1.27209883443804,0.177342075524815,0.0579963225107051,0.177342075524815
"independent","cvc",0.089348846947856,1.24062984549923,0.239834717645957,0.0918033917859885,0.239834717645957
"independent","cvc",0.0818680165596217,1.21540172772012,0.308706721328149,0.136462566894949,0.308706721328149
"independent","cvc",0.0750135269156635,1.1956219770674,0.381401948067187,0.188491099218961,0.381401948067187
"independent","cvc",0.0687329369489366,1.18056821378609,0.445099457655821,0.238881147942922,0.445099457655821
"independent","cvc",0.0629781962783572,1.16957599676321,0.510805740164844,0.298158188120229,0.510805740164844
"independent","cvc",0.0577052775937964,1.16224495384495,0.565088666991661,0.354341801344487,0.565088666991661
"independent","cvc",0.0528738398200432,1.15808407266387,0.612505766193993,0.40890934727309,0.612505766193993
"independent","cvc",0.048446919482736,1.15682218775822,0.653879645566638,0.459694463656759,0.653879645566638
"independent","cvc",0.04439064791502,1.15808733522298,0.687399726879722,0.507989785694849,0.687399726879722
"independent","cvc",0.0406739921413883,1.16156608712567,0.716424284914304,0.550826722736356,0.716424284914304
"independent","cvc",0.0372685174563073,1.16710776193987,0.741519483543165,0.590667867512061,0.741519483543165
"independent","cvc",0.0341481698812089,1.17459180529814,0.761616800346262,0.625741136921191,0.761616800346262
"independent","cvc",0.0312890768355088,1.18384306860763,0.77869965137537,0.656883718598496,0.77869965137537
"independent","cvc",0.0286693644966638,1.19464441136333,0.79383491058043,0.685269075003604,0.79383491058043
